graph,execution,profiled,captured,graph_execute_us
model.0.s1,813,0,0,22312
model.0.s1,814,0,0,22267
model.0.s1,815,0,0,22227
model.0.s1,816,0,0,22265
model.0.s1,817,0,0,22306
model.0.s1,818,0,0,22308
model.0.s1,819,0,0,22524
model.0.s1,820,0,0,22188
model.0.s1,821,0,0,22202
model.0.s1,822,0,0,22468
model.0.s1,823,0,0,22497
model.0.s1,824,0,0,22413
model.0.s1,825,0,0,22416
model.0.s1,826,0,0,22368
model.0.s1,827,0,0,22386
model.0.s1,828,0,0,22305
model.0.s1,829,0,0,22234
model.0.s1,830,0,0,22254
model.0.s1,831,0,0,22344
model.0.s1,832,0,0,22196
model.0.s1,833,0,0,22406
model.0.s1,834,0,0,22297
model.0.s1,835,0,0,22324
model.0.s1,836,0,0,22863
model.0.s1,837,0,0,22171
model.0.s1,838,0,0,22378
model.0.s1,839,0,0,22367
model.0.s1,840,0,0,22249
model.0.s1,841,0,0,22251
model.0.s1,842,0,0,22260
model.0.s1,843,0,0,22168
model.0.s1,844,0,0,22303
model.0.s1,845,0,0,22252
model.0.s1,846,0,0,22238
model.0.s1,847,0,0,22221
model.0.s1,848,0,0,22223
model.0.s1,849,0,0,22398
model.0.s1,850,0,0,22271
model.0.s1,851,0,0,22225
model.0.s1,852,0,0,22292
model.0.s1,853,0,0,22302
model.0.s1,854,0,0,22388
model.0.s1,855,0,0,22323
model.0.s1,856,0,0,22274
model.0.s1,857,0,0,22358
model.0.s1,858,0,0,22258
model.0.s1,859,0,0,22441
model.0.s1,860,0,0,22282
model.0.s1,861,0,0,22679
model.0.s1,862,0,0,22423
model.0.s1,863,0,0,22224
